sharp_metric,faith_metric,method,sharpness,faithfulness,dominated_by,on_frontier
top1pct_mass,RandomLogit,Deconvolution,0.06074129790067673,1.0,"['DeepLift', 'DistributionPullback', 'DoublePullback', 'Gradient', 'GuidedGradCam', 'MarginPullback', 'Saliency', 'SoftPullback']",False
top1pct_mass,RandomLogit,MarginAscent,0.05545046553015709,0.022,"['DeepLift', 'DistributionPullback', 'DoublePullback', 'Gradient', 'SoftPullback']",False
top1pct_mass,RandomLogit,PullbackAscent,0.05468519404530525,0.011,"['DistributionPullback', 'DoublePullback', 'Gradient', 'SoftPullback']",False
top5pct_mass,FaithfulnessCorrelation,GuidedGradCam,0.556307315826416,0.009,[],True
top5pct_mass,FaithfulnessCorrelation,DeepLift,0.2981185019016266,-0.006,['GuidedGradCam'],False
top5pct_mass,FaithfulnessCorrelation,MarginPullback,0.2200235277414322,0.058,[],True
top5pct_mass,FaithfulnessCorrelation,Saliency,0.21550628542900085,0.01,['MarginPullback'],False
top5pct_mass,FaithfulnessCorrelation,Gradient,0.21550628542900085,0.014,['MarginPullback'],False
top5pct_mass,FaithfulnessCorrelation,DistributionPullback,0.2110520899295807,0.073,[],True
top5pct_mass,FaithfulnessCorrelation,SoftPullback,0.21098923683166504,0.072,['DistributionPullback'],False
top5pct_mass,FaithfulnessCorrelation,DoublePullback,0.208094984292984,0.053,"['DistributionPullback', 'MarginPullback', 'SoftPullback']",False
top5pct_mass,FaithfulnessCorrelation,Deconvolution,0.20688799023628235,-0.004,"['DistributionPullback', 'DoublePullback', 'Gradient', 'GuidedGradCam', 'MarginPullback', 'Saliency', 'SoftPullback']",False
top5pct_mass,FaithfulnessCorrelation,MarginAscent,0.18744878470897675,0.038,"['DistributionPullback', 'DoublePullback', 'MarginPullback', 'SoftPullback']",False
top5pct_mass,FaithfulnessCorrelation,PullbackAscent,0.18520651757717133,0.045,"['DistributionPullback', 'DoublePullback', 'MarginPullback', 'SoftPullback']",False
